37.08617	13.71759	307.23244	-0.01341	0.01842	0.01111	0.12837	1	0.00019	-0.00032	-0.00019	1	-0.00023	0.00032	0.00023	1
37.04817	13.61382	307.24124	-0.02793	0.03283	0.01212	0.0841	1	0.00021	-0.00057	-0.00021	1	-0.00049	0.00057	0.00049	1
36.97283	13.63976	307.24206	-0.0405	0.01468	0.01794	0.14728	1	0.00031	-0.00026	-0.00031	1	-0.00071	0.00026	0.00071	1
36.93502	13.6282	307.18081	-0.03249	0.00912	0.02537	0.24155	1	0.00044	-0.00016	-0.00044	1	-0.00057	0.00016	0.00057	1
36.94228	13.61294	307.17193	-0.03589	0.00741	0.02226	0.25146	1	0.00039	-0.00013	-0.00039	1	-0.00063	0.00013	0.00063	1
36.90207	13.60664	307.18841	-0.03879	0.01178	0.02787	0.24362	1	0.00049	-0.00021	-0.00049	1	-0.00068	0.00021	0.00068	1
37.13154	13.53876	307.19276	-0.06474	0.00216	0.02353	0.39488	1	0.00041	-4E-05	-0.00041	1	-0.00113	4E-05	0.00113	1
37.29541	13.46543	307.05329	-0.0864	-0.00708	0.02093	0.42413	1	0.00037	0.00012	-0.00037	1	-0.00151	-0.00012	0.00151	1
37.02254	13.62309	307.06752	-0.06113	0.00084	0.01391	0.28396	1	0.00024	-1E-05	-0.00024	1	-0.00107	1E-05	0.00107	1
36.99611	13.61552	307.07177	-0.06029	-0.00212	0.01456	0.28119	1	0.00025	4E-05	-0.00025	1	-0.00105	-4E-05	0.00105	1
36.81642	13.59752	306.9648	-0.04792	-0.00142	-0.01742	0.19901	1	-0.0003	3E-05	0.0003	1	-0.00084	-2E-05	0.00084	1
36.85606	13.55889	306.9958	-0.05264	0.00869	0.0129	0.23603	1	0.00022	-0.00015	-0.00023	1	-0.00092	0.00015	0.00092	1
36.81812	13.54735	307.01363	-0.05554	0.01672	0.00697	0.23792	1	0.00012	-0.00029	-0.00012	1	-0.00097	0.00029	0.00097	1
36.85063	13.51126	306.98989	-0.06556	0.02409	0.00775	0.22509	1	0.00013	-0.00042	-0.00014	1	-0.00114	0.00042	0.00114	1
36.8499	13.52815	307.01163	-0.06419	0.02222	0.00873	0.21307	1	0.00015	-0.00039	-0.00015	1	-0.00112	0.00039	0.00112	1
36.84916	13.53101	306.99065	-0.05776	0.02814	0.00903	0.20412	1	0.00016	-0.00049	-0.00016	1	-0.00101	0.00049	0.00101	1
36.79996	13.5389	306.9855	-0.05683	0.02054	0.00763	0.21029	1	0.00013	-0.00036	-0.00013	1	-0.00099	0.00036	0.00099	1
36.80299	13.52697	306.98037	-0.05514	0.01886	0.00434	0.20373	1	8E-05	-0.00033	-8E-05	1	-0.00096	0.00033	0.00096	1
36.80079	13.54942	306.98177	-0.05879	0.02379	0.00782	0.20219	1	0.00014	-0.00042	-0.00014	1	-0.00103	0.00042	0.00103	1
36.78245	13.51824	306.97494	-0.0608	0.01998	0.00649	0.2145	1	0.00011	-0.00035	-0.00011	1	-0.00106	0.00035	0.00106	1
36.75374	13.56829	306.94492	-0.05147	0.02189	0.00597	0.20375	1	0.0001	-0.00038	-0.0001	1	-0.0009	0.00038	0.0009	1
36.79595	13.56333	306.98331	-0.05397	0.02868	0.0025	0.20717	1	4E-05	-0.0005	-4E-05	1	-0.00094	0.0005	0.00094	1
37.02649	13.60168	307.01709	-0.05758	0.06476	0.00784	0.20436	1	0.00014	-0.00113	-0.00014	1	-0.001	0.00113	0.001	1
37.68151	13.95487	307.31724	-0.09283	0.15237	-0.0121	0.21088	1	-0.00022	-0.00266	0.00021	1	-0.00162	0.00266	0.00162	1
40.04518	14.11238	308.16389	-0.22219	0.5722	0.15494	0.26311	0.99995	0.00267	-0.01	-0.0027	0.99999	-0.00385	0.00999	0.00388	0.99994
42.75067	13.99316	309.43194	-0.30258	0.86495	0.54102	0.25274	0.99984	0.00936	-0.01514	-0.00944	0.99994	-0.00514	0.0151	0.00528	0.99987
48.14953	14.68819	312.33804	-0.21321	2.02181	1.47539	0.22318	0.99905	0.02562	-0.03536	-0.02573	0.99966	-0.00281	0.03528	0.00372	0.99937
56.34187	15.77257	320.63418	-0.39714	3.44436	1.94892	0.31901	0.99762	0.03359	-0.06028	-0.03395	0.99941	-0.00488	0.06008	0.00692	0.99817
59.37305	15.30992	333.31319	-0.46146	2.63356	1.60905	0.27556	0.99855	0.02771	-0.04615	-0.02805	0.99958	-0.00676	0.04595	0.00805	0.99891
59.26009	13.75781	349.63266	-1.00497	1.63919	1.63267	0.28626	0.99918	0.02799	-0.02909	-0.02848	0.99945	-0.01672	0.02861	0.01753	0.99944
59.95315	12.13982	367.7625	-1.16844	1.79101	1.49633	0.23412	0.99917	0.02547	-0.03177	-0.0261	0.99947	-0.01957	0.03125	0.02038	0.9993
62.82279	10.1156	386.53542	-1.63755	1.92315	1.48609	0.25888	0.9991	0.02496	-0.03428	-0.02592	0.99928	-0.0277	0.03356	0.02856	0.99903
72.19437	8.46491	406.44158	-2.05458	3.07503	1.87488	0.22932	0.99803	0.03077	-0.05475	-0.03267	0.99889	-0.03408	0.05364	0.0358	0.99792
80.96324	5.5829	428.5435	-1.60749	3.88452	2.09277	0.30821	0.99704	0.0346	-0.0687	-0.03643	0.99901	-0.02556	0.06775	0.02799	0.99731
85.6339	0.20913	450.73004	-1.02461	3.81169	1.8732	0.31453	0.99725	0.03149	-0.06702	-0.03262	0.99934	-0.0157	0.06648	0.01784	0.99763
